Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Sanni,Tuominen,Chydeniuksenkatu 57,Nurmijärvi,36552,Finland,FI,19670820-2083,+358,+358 52 8763308,1967-08-20,True
Anna,Sundqvist,Granvägen 953,Västerås,69308,Sverige,SE,20000802-0871,+46,08-438 338 02,2000-08-02,True
Samantha,Smith,Francisco Drives 228,Zoebury,29851,Danmark,DK,19671027-0702,+45,+1-389-883-4400x81728,1967-10-27,True
Filip,Gunnarsson,Skogsgatan 4,Örebro,67950,Sverige,SE,19951104-5452,+46,+46 (0)18 45 75 99,1995-11-04,True
Dean,Pierce,Alexander Rue 4448,East Royview,37170,Danmark,DK,19591011-5115,+45,807-261-5589x40892,1959-10-11,True
Kim,Ahmed,Olsenringen 9,Antonsen,5795,Norge,NO,19810211-6741,+47,+47 71 74 04 89,1981-02-11,True
Niklas,Lindberg,Villagränd 7,Lidköping,90941,Sverige,SE,19680127-9551,+46,+46 (0)769 728 45,1968-01-27,True
Leif,Eide,Fredriksenstykket 9,Irenehavn,8985,Norge,NO,19650126-6604,+47,62746521,1965-01-26,True
Natalie,Rose,Allison Track 2767,West Chase,71138,Danmark,DK,19880125-8635,+45,250-465-3943,1988-01-25,True
David,Eriksson,Grangränd 039,Örnsköldsvik,28538,Sverige,SE,19470610-0417,+46,08-648 234 61,1947-06-10,True
Tobias,Johansson,Ringtorget 085,Borlänge,71327,Sverige,SE,19701020-0265,+46,+46 (0)8 173 850 87,1970-10-20,True
Johan,Nielsen,Johansenmyra 7,Danielsen,7961,Norge,NO,19580427-1448,+47,28 74 30 75,1958-04-27,True
Leif,Jakobsson,Furuvägen 7,Borås,39000,Sverige,SE,19550630-5727,+46,+46 (0)8 875 188 38,1955-06-30,True
Elisabeth,Holmgren,Aspgränd 5,Sandviken,40747,Sverige,SE,19960301-7602,+46,096-66 09 32,1996-03-01,True
James,Klein,Anderson Ramp 2491,Warnerstad,27354,Danmark,DK,19540617-4091,+45,7983119286,1954-06-17,True
Ingeborg,Eriksen,Lundstien 2,Ødegård,7762,Norge,NO,19860327-7001,+47,90207582,1986-03-27,True
Gabriella,Svensson,Backvägen 43,Sundsvall,49223,Sverige,SE,19560209-0833,+46,+46 (0)8 755 894 99,1956-02-09,True
Tabitha,Jones,Shannon Haven 1973,North Jerryville,71708,Danmark,DK,19620329-2494,+45,469-391-6062,1962-03-29,True
Cathrine,Strand,Strandbråten 2,Kirstenmark,3410,Norge,NO,19770719-8804,+47,+4783014679,1977-07-19,True
Peter,Johansson,Kvarnvägen 565,Stockholm,78911,Sverige,SE,19430924-8334,+46,+46 (0)8 140 375 99,1943-09-24,True
